,acl_contract,role,member_number,member_address,is_target
0,badgerTree,DEFAULT_ADMIN_ROLE,0,0xF6BC36280F32398A031A7294e81131aEE787D178,False
1,badgerTree,DEFAULT_ADMIN_ROLE,1,0xb364bAb258ad35dd83c7dd4E8AC78676b7aa1e9F,False
2,badgerTree,ROOT_PROPOSER_ROLE,0,0x1a6D6D120a7e3F71B084b4023a518c72F1a93EE9,False
3,badgerTree,ROOT_VALIDATOR_ROLE,0,0x1a6D6D120a7e3F71B084b4023a518c72F1a93EE9,False
4,badgerTree,PAUSER_ROLE,0,0xDb0C3118ef1acA6125200139BEaCc5D675F37c9C,False
5,badgerTree,UNPAUSER_ROLE,0,0xF6BC36280F32398A031A7294e81131aEE787D178,False
6,rewardsLogger,DEFAULT_ADMIN_ROLE,0,0x292549E6bd5a41aE4521Bb8679aDA59631B9eD4C,False
7,rewardsLogger,DEFAULT_ADMIN_ROLE,1,0xb364bAb258ad35dd83c7dd4E8AC78676b7aa1e9F,False
8,rewardsLogger,MANAGER_ROLE,0,0x292549E6bd5a41aE4521Bb8679aDA59631B9eD4C,False
9,guardian,DEFAULT_ADMIN_ROLE,0,0x468A0FF843BC5D185D7B07e4619119259b03619f,False
10,guardian,APPROVED_ACCOUNT_ROLE,0,0x29F7F8896Fb913CF7f9949C623F896a154727919,False
11,guardian,APPROVED_ACCOUNT_ROLE,1,0x4666e94300429C6d3340449bC828E4218F360672,False
12,guardian,APPROVED_ACCOUNT_ROLE,2,0xcf4fF1e03830D692F52EB094c52A5A6A2181Ab3F,False
13,guardian,APPROVED_ACCOUNT_ROLE,3,0xeE8b29AA52dD5fF2559da2C50b1887ADee257556,True
14,keeper,DEFAULT_ADMIN_ROLE,0,0x292549E6bd5a41aE4521Bb8679aDA59631B9eD4C,False
15,keeper,DEFAULT_ADMIN_ROLE,1,0xb364bAb258ad35dd83c7dd4E8AC78676b7aa1e9F,False
16,keeper,EARNER_ROLE,0,0xF8dbb94608E72A3C4cEeAB4ad495ac51210a341e,False
17,keeper,HARVESTER_ROLE,0,0xF8dbb94608E72A3C4cEeAB4ad495ac51210a341e,False
18,keeper,TENDER_ROLE,0,0xF8dbb94608E72A3C4cEeAB4ad495ac51210a341e,False
19,registryAccessControl,DEFAULT_ADMIN_ROLE,0,0x292549E6bd5a41aE4521Bb8679aDA59631B9eD4C,False
20,registryAccessControl,DEVELOPER_ROLE,0,0xDA25ee226E534d868f0Dd8a459536b03fEE9079b,False
21,registryAccessControl,DEVELOPER_ROLE,1,0xeE8b29AA52dD5fF2559da2C50b1887ADee257556,True
22,registryAccessControl,DEVELOPER_ROLE,2,0x283C857BA940A61828d9F4c09e3fceE2e7aEF3f7,False
23,registryAccessControl,DEVELOPER_ROLE,3,0xef42D748e09A2d9eF89238c053CE0B6f00236210,False
24,registryAccessControl,DEVELOPER_ROLE,4,0xC6a902de22b10cb176460777ce6e7A12A6b6AE5a,False
25,registryAccessControl,DEVELOPER_ROLE,5,0x96AC69183216074dd8CFA7A380e873380445EaDc,False
26,registryAccessControl,DEVELOPER_ROLE,6,0x7140B5254d80154f9Fc5F86054efB210f3a1e2c6,False
27,registryAccessControl,DEVELOPER_ROLE,7,0x9082b0dD7A72c328833e6461965C9E91Cf59a960,False
28,registryAccessControl,DEVELOPER_ROLE,8,0xd49177c4cF4b8cCdf58475c9a155C4CD8b9F3F31,False
