Key,Address,Type,Permission,Actor,Actor Name,Matches ACCOUNT
bBADGER,0x19D97D8fA813EE2f51aD4B4e04EA08bAf4DFfC28,vault,governance,0x21CF9b77F88Adf8F8C98d7E33Fe601DC57bC0893,eth_governance_timelock,False
bBADGER,0x19D97D8fA813EE2f51aD4B4e04EA08bAf4DFfC28,vault,strategist,0x0000000000000000000000000000000000000000,arbitrum_zero,False
bDIGG,0x7e7E112A68d8D2E221E11047a72fFC1065c38e1a,vault,governance,0x21CF9b77F88Adf8F8C98d7E33Fe601DC57bC0893,eth_governance_timelock,False
bDIGG,0x7e7E112A68d8D2E221E11047a72fFC1065c38e1a,vault,strategist,0x0000000000000000000000000000000000000000,arbitrum_zero,False
bDIGG,0x7e7E112A68d8D2E221E11047a72fFC1065c38e1a,vault,guardian,0x6615e67b8B6b6375D38A0A3f937cd8c1a1e96386,eth_guardian,False
bcrvRenBTC,0x6dEf55d2e18486B9dDfaA075bc4e4EE0B28c1545,vault,governance,0xB65cef03b9B89f99517643226d76e286ee999e77,bridge_badger_multisig,True
bcrvRenBTC,0x6dEf55d2e18486B9dDfaA075bc4e4EE0B28c1545,vault,strategist,0x0000000000000000000000000000000000000000,arbitrum_zero,False
bcrvSBTC,0xd04c48A53c111300aD41190D63681ed3dAd998eC,vault,governance,0x21CF9b77F88Adf8F8C98d7E33Fe601DC57bC0893,eth_governance_timelock,False
bcrvSBTC,0xd04c48A53c111300aD41190D63681ed3dAd998eC,vault,strategist,0x0000000000000000000000000000000000000000,arbitrum_zero,False
bcrvTBTC,0xb9D076fDe463dbc9f915E5392F807315Bf940334,vault,governance,0x21CF9b77F88Adf8F8C98d7E33Fe601DC57bC0893,eth_governance_timelock,False
bcrvTBTC,0xb9D076fDe463dbc9f915E5392F807315Bf940334,vault,strategist,0x0000000000000000000000000000000000000000,arbitrum_zero,False
bharvestcrvRenBTC,0xAf5A1DECfa95BAF63E0084a35c62592B774A2A87,vault,governance,0x21CF9b77F88Adf8F8C98d7E33Fe601DC57bC0893,eth_governance_timelock,False
bharvestcrvRenBTC,0xAf5A1DECfa95BAF63E0084a35c62592B774A2A87,vault,strategist,0x0000000000000000000000000000000000000000,arbitrum_zero,False
