SETT,ADDRESS,NETWORK,TOKEN,30-12-21,06-01-22,13-01-22,20-01-22,27-01-22,03-02-22,10-02-22,17-02-22,24-02-22,03-03-22,10-03-22,17-03-22,24-03-22
renBTC Arb,0xBA418CDdd91111F5c1D1Ac2777Fa8CEa28D71843,ARBITRUM,BADGER,521.06,517.15,513.28,509.43,505.61,501.81,498.05,494.31,490.61,486.93,483.28,479.65,476.05
Tricrypto Arb,0x4591890225394BF66044347653e112621AF7DDeb,ARBITRUM,BADGER,521.06,517.15,513.28,509.43,505.61,501.81,498.05,494.31,490.61,486.93,483.28,479.65,476.05
Swapr ibBTC,0x60129B2b762952Dfe8b21f40ee8aa3B2A4623546,ARBITRUM,BADGER,625.28,620.59,615.93,611.31,606.73,602.18,597.66,593.18,588.73,584.31,579.93,575.58,571.26
Badger Swapr,0xE9C12F06F8AFFD8719263FE4a81671453220389c,ARBITRUM,BADGER,416.85,413.72,410.62,407.54,404.48,401.45,398.44,395.45,392.49,389.54,386.62,383.72,380.84
Tricrypto,0x27E98fC7d05f54E544d16F58C194C2D7ba71e3B5,ETHEREUM,BADGER,1042.13,1034.31,1026.55,1018.85,1011.21,1003.63,996.1,988.63,981.21,973.86,966.55,959.3,952.11
ibBTC/sBTC,0xaE96fF08771a109dc6650a1BdCa62F2d558E40af,ETHEREUM,BADGER,20009.79,19859.72,19710.77,19562.94,19416.22,19270.6,19126.07,18982.62,18840.25,18698.95,18558.71,18419.52,18281.37
bveCVX,0xfd05D3C7fe2924020620A8bE4961bBaA747e6305,ETHEREUM,BADGER,BVECVX15,BVECVX15,BVECVX15,BVECVX15,BVECVX15,BVECVX15,BVECVX15,BVECVX15,BVECVX15,BVECVX15,BVECVX15,BVECVX15,BVECVX15
bveCVX,0xfd05D3C7fe2924020620A8bE4961bBaA747e6305,ETHEREUM,bcvxCRV,cvxCRV20000,cvxCRV20000,cvxCRV20000,cvxCRV20000,cvxCRV20000,cvxCRV20000,cvxCRV20000,cvxCRV20000,cvxCRV20000,cvxCRV20000,cvxCRV20000,cvxCRV20000,cvxCRV20000
bveCVX/CVX,0x937B8E917d0F36eDEBBA8E459C5FB16F3b315551,ETHEREUM,BADGER,2084.25,2068.62,2053.1,2037.71,2022.42,2007.25,1992.2,1977.26,1962.43,1947.71,1933.1,1918.6,1904.22
bcvxCRV,0x2B5455aac8d64C14786c3a29858E43b5945819C0,ETHEREUM,BADGER,1042.13,1034.31,1026.55,1018.85,1011.21,1003.63,996.1,988.63,981.21,973.86,966.55,959.3,952.11
Badger SLP,0x1862A18181346EBd9EdAf800804f89190DeF24a5,ETHEREUM,BADGER,4168.5,4137.24,4106.21,4075.41,4044.84,4014.51,3984.4,3954.52,3924.86,3895.42,3866.21,3837.21,3808.43
bDIGG,0x7e7E112A68d8D2E221E11047a72fFC1065c38e1a,ETHEREUM,DIGG,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
DIGG LP Sushi,0x88128580ACdD9c04Ce47AFcE196875747bF2A9f6,ETHEREUM,DIGG,10,10,10,10,10,10,10,10,10,10,10,10,10
