type,hash,victim,recipient,token,symbol,amount,mantissa,value_wbtc,value_badger,value_digg,value_weth,value_usdt,value_cvx,value_cvxcrv,value_usd_2dec
stolen,0x951babdddbfbbba81bbbb7991a959d9815e80cc5d9418d10e692f41541029869,0x53461E4fddcC1385f1256Ae24ce3505Be664f249,0x4fbf7701b3078B5bed6F3e64dF3AE09650eE7DE5,0x4b92d19c11435614CD49Af1b589001b7c08cD4D5,byvWBTC,896.859875220000000000,89685987522,911.7624128,0,0,0,0,0,0,51904810.64
stolen,0xcc0903051732b6e92b439fff681e09d04a91b747ef7230d191cad02c0df9bf6e,0x7b2366996A64effE1aF089fA64e9cf4361FddC6e,0x0B88A083dc7b8aC2A84eBA02E4acb2e5f2d3063C,0xaE96fF08771a109dc6650a1BdCa62F2d558E40af,bibbtc/sbtcCRV-f,204.539433413030000000,204539433413030539153,206.6816444,0,0,0,0,0,0,11558382.91
stolen,0x2b3a0e24b59daef540f5ff579422bd8f66f748b2b85613e2592ff56ce82010f2,0x4aE958B4dE0e6f21d51e73625fb9D5E0C3B0985f,0x4fbf7701b3078B5bed6F3e64dF3AE09650eE7DE5,0xaE96fF08771a109dc6650a1BdCa62F2d558E40af,bibbtc/sbtcCRV-f,172.445055240571000000,172445055240571417888,174.2511309,0,0,0,0,0,0,9744751.637
stolen,0x5973ea352314dd079517e05c258ce8989e04d8d7859afa06de66ce5f05e0ff4e,0x564B1a055D9caaaFF7435dcE6B5F6E522b27dE7d,0x4fbf7701b3078B5bed6F3e64dF3AE09650eE7DE5,0xaE96fF08771a109dc6650a1BdCa62F2d558E40af,bibbtc/sbtcCRV-f,111.029961377265000000,111029961377265239943,112.1928159,0,0,0,0,0,0,6274226.862
stolen,0x960bf0f1edac5ca49f6faee49fa93f662cf0331fd1d8da8fbece1021e88028c0,0xeD5e679d74273Ca5C319DAc2229f2e87E20903Ea,0x4fbf7701b3078B5bed6F3e64dF3AE09650eE7DE5,0xaE96fF08771a109dc6650a1BdCa62F2d558E40af,bibbtc/sbtcCRV-f,61.421933700794700000,61421933700794716935,62.06522649,0,0,0,0,0,0,3470911.289
stolen,0x36ee80b32a4248c4f1ca70fc78989b3ffe0def0a6824cb8591aff8110170769c,0xd95aB69ca45EbF9d8b0b097D7A3817CE77cED518,0x4fbf7701b3078B5bed6F3e64dF3AE09650eE7DE5,0x8a8FFec8f4A0C8c9585Da95D9D97e8Cd6de273DE,bSlpIbbtcWbtc,0.000298481687238017,298481687238017,60.28533386,0,0,0,0,0,0,3391278.223
stolen,0xd7436c17f6511d1a239a37e4c90b49f991e05900ee53164c80ffbaa0b21a3d66,0xE5350E927B904FdB4d2AF55C566E269BB3df1941,0x4fbf7701b3078B5bed6F3e64dF3AE09650eE7DE5,0xaE96fF08771a109dc6650a1BdCa62F2d558E40af,bibbtc/sbtcCRV-f,37.638894888154800000,37638894888154842224,38.03309983,0,0,0,0,0,0,2126948.1
stolen,0x46bce4f9a67369af0470b9260e7ee1b41edc4df040451ff219877901ecaf20df,0x4718fc7E40092A9d5FC584699AEA1AA4c6f63D33,0x4fbf7701b3078B5bed6F3e64dF3AE09650eE7DE5,0xaE96fF08771a109dc6650a1BdCa62F2d558E40af,bibbtc/sbtcCRV-f,34.526118362559300000,34526118362559320045,34.88772214,0,0,0,0,0,0,1951047.236
stolen,0x2547df83880e4bdd101f8b6dde431bb930d3678fb570269e317a2389f282247d,0x73a6A002B9538F636FbfE6bfB8b7440b8b3A510E,0x4fbf7701b3078B5bed6F3e64dF3AE09650eE7DE5,0xaE96fF08771a109dc6650a1BdCa62F2d558E40af,bibbtc/sbtcCRV-f,30.106194553715500000,30106194553715526190,30.42150696,0,0,0,0,0,0,1701280.377
stolen,0xdfb1661349c1ef1307372ddddd4cdb7c910319b48f9bf50b878ec0245b74d6fd,0xEc4FcD1aCA723f8456999c5f5d7479Dbe9528c11,0x0B88A083dc7b8aC2A84eBA02E4acb2e5f2d3063C,0x19D97D8fA813EE2f51aD4B4e04EA08bAf4DFfC28,bBADGER,"55,721.795061367900000000",55721795061367972036608,0,68809.82446,0,0,0,0,0,1536523.378
stolen,0xedaa8e2033dd97b92db3225db9304944070c32e7361d892d5811305c39751d4a,0x6d0BBe84eBa47434a0004fc65797B87eF1C913b7,0x4fbf7701b3078B5bed6F3e64dF3AE09650eE7DE5,0xaE96fF08771a109dc6650a1BdCa62F2d558E40af,bibbtc/sbtcCRV-f,25.888764525421100000,25888764525421151356,26.15990636,0,0,0,0,0,0,1462956.303
stolen,0x6b2ca124165ac03e4877adb8d6aba8723ad0091cbcbcf0ab20370a1dfa5b6db4,0x7338afb07db145220849B04A45243956f20B14d9,0xa33B95ea28542Ada32117B60E4F5B4cB7D1Fc19B,0xaE96fF08771a109dc6650a1BdCa62F2d558E40af,bibbtc/sbtcCRV-f,24.574124356297800000,24574124356297821825,24.83149752,0,0,0,0,0,0,1388666.89
stolen,0x5e08f0192bbeb4e4f413ab94b413f47d3fe0baed597d24927bc987d18c048910,0x72b40Caa258c237c6F5947E291650808B913e9fC,0xEcD91D07b1b6B81d24F2a469de8e47E3fe3050fd,0x1862A18181346EBd9EdAf800804f89190DeF24a5,bSlpBadgerWbtc,0.003949995259385800,3949995259385807,13.39462848,28071.55892,0,0,0,0,0,1384212.095
stolen,0xbbd90f05093277f878e3a3995eb76335c5d86ee80a3f7b629af12d23699822ea,0xFc7e2b665062B127047171eBb5000d53880Bc88c,0x1B1b391D1026A4e3fB7F082ede068B25358a61F2,0x88128580ACdD9c04Ce47AFcE196875747bF2A9f6,bSlpDiggWbtc,0.000000006615523938,6615523938,12.56781116,0,11.67605537,0,0,0,0,1322835.724
stolen,0x6d4872d1b7fbc194f5cc3c17f5bddc2bcf6ca5b53476875968abaf46f6304974,0xaF297deC752c909092A117A932A8cA4AaaFF9795,0x0B88A083dc7b8aC2A84eBA02E4acb2e5f2d3063C,0x19D97D8fA813EE2f51aD4B4e04EA08bAf4DFfC28,bBADGER,"45,463.111102277600000000",45463111102277679269873,0,56141.56347,0,0,0,0,0,1253641.111
stolen,0x769e153bd410887be1986547dd8977dfaf185b204979a114613a8c20c74e91f1,0xee1F07F88934C2811E3DcAbdf438d975C3d62cd3,0x2eF1b70F195fd0432f9C36fB2eF7C99629B0398c,0xd04c48A53c111300aD41190D63681ed3dAd998eC,bcrvRenWSBTC,20.667204525632300000,20667204525632326589,21.17671641,0,0,0,0,0,0,1207888.999
stolen,0x8a9c2a05ba58823c28fb9bb259b7f67f7d8e502984b4addfc7ae486032c277b9,0xa669070D106E96CC2390523E9745B425a1b3a0E0,0x4fbf7701b3078B5bed6F3e64dF3AE09650eE7DE5,0xaE96fF08771a109dc6650a1BdCa62F2d558E40af,bibbtc/sbtcCRV-f,20.741277939123600000,20741277939123684990,20.95850839,0,0,0,0,0,0,1172075.371
stolen,0xd4a3475f9e6a145dca781b21fe51989af555bb90f0cf9b30e05819b0056139a3,0x4c46f9a3Da4F7F2911e29dae334ebCf09101a669,0xa33B95ea28542Ada32117B60E4F5B4cB7D1Fc19B,0xaE96fF08771a109dc6650a1BdCa62F2d558E40af,bibbtc/sbtcCRV-f,20.024878621921000000,20024878621921087651,20.23460598,0,0,0,0,0,0,1131592.138
stolen,0x4f300d92388f4de8160205ddb48fd45f6b479c60ab248500b4aaeb4439b2ed57,0xE107a20CE3836329a3C310E9A2DA812CFB177F72,0x1B1b391D1026A4e3fB7F082ede068B25358a61F2,0x88128580ACdD9c04Ce47AFcE196875747bF2A9f6,bSlpDiggWbtc,0.000000004866728514,4866728514,9.245545104,0,8.589522481,0,0,0,0,973147.7653
stolen,0x95f8a00668ee3fda5a7a1e6e1f0b611409a77dec845290bf9f34780a83b8fc45,0x1eccd61c9fa53a8D2e823A26cD72A7efD7D0E92e,0xEcD91D07b1b6B81d24F2a469de8e47E3fe3050fd,0xb9D076fDe463dbc9f915E5392F807315Bf940334,btbtc/sbtcCrv,13.897951836589600000,13897951836589632152,14.37122243,0,0,0,0,0,0,826995.3076
stolen,0xf87c1798b6b6cca927b5646b4c52f4e38e23e53afcfd99ae86658cac864ae272,0x7Fe978F80ed1830367Db86AdEFe305e58777B602,0xa33B95ea28542Ada32117B60E4F5B4cB7D1Fc19B,0xaE96fF08771a109dc6650a1BdCa62F2d558E40af,bibbtc/sbtcCRV-f,12.396446553101000000,12396446553101043505,12.52627875,0,0,0,0,0,0,700514.6809
stolen,0x922e142c390e00f9de00aa8f7c62264f89d683bd66d35a95da75f890c63cf10e,0x1D8D739912AAE17819618e6e33580284C16785A9,0x1B1b391D1026A4e3fB7F082ede068B25358a61F2,0xfd05D3C7fe2924020620A8bE4961bBaA747e6305,bveCVX,"25,130.919014305900000000",25130919014305942817371,0,0,0,0,0,25130.91901,0,650639.4933
stolen,0x52356f445dab835ad3e783b1a0ca464f5069651189fa19eb2f1916a757d07fd5,0xB64cAa9388ADE265084293E552632D624Df1F7c3,0x0B88A083dc7b8aC2A84eBA02E4acb2e5f2d3063C,0x4b92d19c11435614CD49Af1b589001b7c08cD4D5,byvWBTC,10.879848630000000000,1087984863,11.060632,0,0,0,0,0,0,629659.6587
stolen,0x9bd8415e5d89f5fe81690c11f23c05b5682fe2db4330eccf12804d693244b918,0xff4944F8809ec48d8aCc655ff83770cBd4C3A02a,0x2eF1b70F195fd0432f9C36fB2eF7C99629B0398c,0xd04c48A53c111300aD41190D63681ed3dAd998eC,bcrvRenWSBTC,10.754238865403400000,10754238865403457105,11.01936483,0,0,0,0,0,0,628528.4881
stolen,0xdd7632c17550122f3696378b6116c4bc0dd30033b67c35b41db01d84d43da731,0xC84350BcE9259D11f7518564520c9D3d6DDe3871,0x1B1b391D1026A4e3fB7F082ede068B25358a61F2,0x88128580ACdD9c04Ce47AFcE196875747bF2A9f6,bSlpDiggWbtc,0.000000002990325501,2990325501,5.680857113,0,5.277768843,0,0,0,0,597943.4789
stolen,0xce5457efb9d640e03e197a294feb0af1e49c78701dbae6cc9c08c97825b9ff66,0x0e61dae710688C22d8f6D0C3Fdd1735d27dDff8f,0xa33B95ea28542Ada32117B60E4F5B4cB7D1Fc19B,0xaE96fF08771a109dc6650a1BdCa62F2d558E40af,bibbtc/sbtcCRV-f,10.003055233698400000,10003055233698446120,10.10782063,0,0,0,0,0,0,565265.7812
